FACID,YR,LAT,LON,LLDESC,LLSRC,RDATUM,CDATE
112366,2024,40.145326,101.631984,site,UNKNOWN,,2019-01-07
112392,2024,42.264513,97.328702,existing drive on property,GOOGLE,84,2019-01-11
112406,2024,42.727327,97.269414,drive,GOOGLE,84,2019-01-14
112407,2024,40.394389,96.921018,building,GOOGLE,84,2019-01-14
112417,2024,41.135628,103.708061,site,GOOGLE,84,2019-01-15
112418,2024,40.087550,98.519150,west drive,GOOGLE,84,2019-01-15
112419,2024,40.030049,100.983045,Reiners 30-1,GOOGLE,84,2024-02-07
112460,2024,41.079989,96.134080,original drive on Vine Street,GOOGLE,84,2019-01-25
112461,2024,41.135332,102.976509,building,GOOGLE,84,2019-01-25
112471,2024,42.114998,96.706523,sidewalk to building,GOOGLE,84,2019-01-28
112490,2024,41.398497,96.271102,drive,GOOGLE,84,2019-02-04
112496,2024,41.137673,100.759444,driveway to parking lot south of building,GOOGLE,84,2019-02-06
112497,2024,40.536672,101.647449,north (main) drive,GOOGLE,84,2019-02-06
112502,2024,40.826287,96.694385,drive,GOOGLE,84,2019-02-12
112506,2024,40.582674,98.348652,drive from Hwy 6/South St,GOOGLE,84,2019-02-13
112514,2024,40.146634,101.574028,site,UNKNOWN,84,2019-02-21
112516,2024,40.034117,101.180804,site,UNKNOWN,84,2019-02-21
112517,2024,40.040916,101.178829,site,UNKNOWN,84,2019-02-21
112518,2024,40.088578,101.150748,site,UNKNOWN,84,2019-02-21
112519,2024,40.117435,101.170806,site,UNKNOWN,84,2019-02-21
112527,2024,40.979334,97.101522,approximate southeast corner,GOOGLE,84,2019-02-22
112542,2024,41.728575,97.123385,parking space at the bulk plant,GOOGLE,84,2019-02-28
112545,2024,42.190771,98.026176,west drive at material storage site,GOOGLE,84,2019-03-01
112692,2024,40.894063,97.106163,northwest corner,GOOGLE,84,2020-02-11
112773,2024,41.146095,96.233856,drive to tower (inside tower),GOOGLE,84,2019-06-11
112788,2024,41.375449,96.158549,drive to tower from 156 St,GOOGLE,84,2020-06-17
112919,2024,40.603542,98.385871,drive at gate,GOOGLE,84,2019-07-03
112990,2024,41.821351,97.450384,drive,GOOGLE,84,2019-07-23
113128,2024,41.152668,96.229225,approximate southeast corner,GOOGLE,84,2019-08-22
113244,2024,41.129312,96.148486,northeast corner,GOOGLE,84,2019-09-18
113375,2024,41.302657,95.994913,north drive,GOOGLE,84,2019-10-23
113376,2024,40.650735,96.838190,drive,GOOGLE,84,2019-10-23
113508,2024,41.399921,96.540683,driveway,GOOGLE,84,2019-11-14
113716,2024,40.848717,96.734106,drive to parking lot at 1001 W Upland Ave,GOOGLE,84,2019-12-19
113741,2024,40.860098,98.376052,driveway from Juergen Rd,GOOGLE,84,2019-12-30
113854,2024,41.251615,95.995749,drive to tower from south drive to parking lot,GOOGLE,84,2020-01-21
113879,2024,41.134613,101.729034,drive,GOOGLE,84,2020-01-23
113898,2024,40.047738,101.043512,site,UNKNOWN,84,2020-01-24
113899,2024,41.170070,96.092220,east drive,GOOGLE,84,2020-01-27
113903,2024,41.146737,100.783359,drive,GOOGLE,84,2020-01-27
113932,2024,40.774412,97.063860,drive,GOOGLE,84,2020-02-04
113935,2024,40.727340,99.012438,15 yards west of passenger terminal,GPS-DIF,,2020-02-05
113936,2024,41.134676,100.698411,entrance to airport from Hwy 30,GOOGLE,84,2020-02-05
113938,2024,40.376708,96.199138,gate,GPS-DIF,83,2020-02-06
113948,2024,40.156862,101.308675,Wyona 8-7-2-35,UNKNOWN,83,2020-02-11
113949,2024,40.150521,101.312090,Wyona 1-7,UNKNOWN,83,2020-02-11
113950,2024,40.154209,101.322770,Wyona 2-7,UNKNOWN,84,2020-02-11
113951,2024,40.153490,101.317990,Wyona 3-7,UNKNOWN,84,2020-02-11
113952,2024,40.149490,101.307460,Wyona 4-7,UNKNOWN,84,2020-02-11
113953,2024,40.149890,101.316840,Wyona 5-7,UNKNOWN,84,2020-02-11
113960,2024,41.134830,96.151270,site,GOOGLE,84,2020-02-12
113961,2024,41.132670,96.149770,southeast corner,GOOGLE,84,2020-02-12
113977,2024,40.868294,101.726252,drive,GOOGLE,84,2020-02-18
113985,2024,42.618253,98.315117,west drive,GOOGLE,84,2020-02-19
113989,2024,42.236987,97.193490,drive,GOOGLE,84,2020-02-20
113998,2024,40.043504,101.170093,site,GOOGLE,84,2020-02-21
113999,2024,40.080094,101.207881,site,UNKNOWN,,2020-02-21
114001,2024,40.117370,101.179383,site,UNKNOWN,,2020-02-21
114006,2024,40.814064,97.045112,portable plant location north of Milford,GOOGLE,84,2021-02-02
114033,2024,41.821041,103.638698,driveway into warehouse bay,GOOGLE,84,2020-03-02
114034,2024,41.154444,96.136096,existing drive on Prairie Corners Rd,GOOGLE,84,2020-03-03
114437,2024,42.163083,97.201409,drive,GOOGLE,84,2020-06-29
115287,2024,41.226510,95.974840,tower,GOOGLE,84,2020-11-16
115340,2024,41.248050,96.164980,tower,GOOGLE,84,2020-12-08
115385,2024,41.181910,96.193290,tower at 17739 Storage Rd,GOOGLE,84,2020-12-14
115455,2024,41.985667,98.220111,water well,UNKNOWN,84,2020-12-28
115611,2024,40.318928,98.904168,north drive at west property,GOOGLE,84,2021-01-21
115671,2024,41.157930,96.138490,northwest corner,GOOGLE,84,2021-02-04
115686,2024,40.909923,98.415923,drive from main drive,GOOGLE,84,2021-02-05
115702,2024,41.141330,96.143580,drive from S 146 St,GOOGLE,84,2021-02-09
115703,2024,40.316907,96.746073,approximate location per Verizon Wireless,GOOGLE,84,2021-02-10
115713,2024,42.434890,96.483302,north drive,GOOGLE,84,2022-07-29
115748,2024,41.155030,96.054870,southernmost parking stall,GOOGLE,84,2021-03-02
115757,2024,40.815561,97.996813,drive,GOOGLE,84,2021-03-09
116017,2024,41.103410,96.176670,northwest corner,GOOGLE,84,2021-06-01
116018,2024,41.317898,96.094125,existing drive,GOOGLE,84,2021-06-01
116068,2024,40.912902,98.373956,drive,GOOGLE,84,2021-06-14
116244,2024,42.308078,97.190781,drive,GOOGLE,84,2021-08-06
116492,2024,41.329008,95.958117,tower,GOOGLE,84,2021-10-07
116572,2024,40.762990,96.694920,south drive,GOOGLE,84,2021-10-26
116634,2024,42.032307,97.412535,tower located south side of store,GOOGLE,84,2021-11-04
116911,2024,40.119224,101.729383,drive,GOOGLE,84,2021-12-14
116912,2024,40.152960,101.680128,well,UNKNOWN,84,2021-12-14
117197,2024,41.335824,96.086160,existing drive,GOOGLE,84,2022-01-19
117235,2024,42.093011,102.800234,northeast corner,GOOGLE,84,2022-01-25
117237,2024,41.236168,96.012917,Baxter Arena,GOOGLE,84,2022-01-26
117238,2024,40.252125,99.646987,site of brine storage at mile marker 9.24,GOOGLE,84,2022-01-27
